Title,Title_URL
Under Armour Men's Team Issue Wordmark T-shirt                                                                                  ,https://www.academy.com/shop/pdp/under-armour-mens-team-issue-wordmark-t-shirt?sku=breeze-pitch-gray-large
Under Armour Men's Launch SW Running Shorts                                                                                     ,https://www.academy.com/shop/pdp/under-armour-mens-launch-sw-running-shorts-125418700?sku=black-medium
Nike Men's Legend Tank Top                                                                                                      ,https://www.academy.com/shop/pdp/nike-mens-legend-tank-top?sku=white-black-medium
adidas Men's Designed 2 Move Woven Shorts 7 in                                                                                  ,https://www.academy.com/shop/pdp/adidas-mens-designed-2-move-woven-shorts-7-in?sku=black-large
BCG Women's Cami Low Impact Sports Bra                                                                                          ,https://www.academy.com/shop/pdp/bcg-womens-cami-low-impact-sports-bra?sku=white-medium
adidas Men's Tiro Training Jersey                                                                                               ,https://www.academy.com/shop/pdp/adidas-mens-tiro-training-jersey?sku=white-large
BCG Women's Low Keyhole Back Sports Bra                                                                                         ,https://www.academy.com/shop/pdp/bcg-womens-low-keyhole-back-sports-bra?sku=black-large
adidas Men's All Set Shorts 9 in                                                                                                ,https://www.academy.com/shop/pdp/adidas-mens-all-set-shorts-9-in?sku=black-medium
Under Armour Men's HeatGear® Armour Sleeveless Compression Top                                                                 ,https://www.academy.com/shop/pdp/under-armour-mens-heatgear%C2%AE-armour-sleeveless-compression-top?sku=black-xx-large
BCG Women's High Support Judy Sports Bra                                                                                        ,https://www.academy.com/shop/pdp/bcg-womens-high-support-judy-sports-bra?sku=black-black-large
adidas Men's Designed 2 Move 3-Stripes Short                                                                                    ,https://www.academy.com/shop/pdp/adidas-mens-designed-2-move-3-stripes-short?sku=white-medium
Under Armour Women's Twist Tech Tank Top                                                                                        ,https://www.academy.com/shop/pdp/under-armour%E2%84%A2-womens-twist-tech%E2%84%A2-tank-top?sku=breeze-white-metallic-silver-small
Nike Adults' Pro Dri-FIT Shiver 4.0 Sleeves 2-Pack                                                                              ,https://www.academy.com/shop/pdp/nike-adults-pro-dri-fit-shiver-40-sleeves-2-pack?sku=white-black
Under Armour Men's Tech 2.0 Hoodie                                                                                              ,https://www.academy.com/shop/pdp/under-armour-mens-tech-20-hoodie?sku=black-large
BCG Men's Turbo T-shirt                                                                                                         ,https://www.academy.com/shop/pdp/bcg-mens-turbo-t-shirt?sku=navy-04-large
Adidas Men's 3-Stripes Shorts                                                                                                   ,https://www.academy.com/shop/pdp/adidas-mens-3-stripes-shorts-125359738?sku=black-medium
adidas Women's 3 in Run Shorts                                                                                                  ,https://www.academy.com/shop/pdp/adidas-womens-3-in-run-shorts?sku=grey-dark-01-small
Shock Doctor Men's Core Compression Shorts with Bio-Flex Cup                                                                    ,https://www.academy.com/shop/pdp/shock-doctor-mens-core-compression-shorts-with-bio-flex-cup?sku=black-small
Copper Fit  Knee-High Compression Socks                                                                                         ,https://www.academy.com/shop/pdp/copper-fit-knee-high-compression-socks-?sku=black-large-x-large
BCG Women's Powermesh Jacquard Training Tank Top                                                                                ,https://www.academy.com/shop/pdp/bcg-womens-powermesh-jacquard-training-tank-top?sku=shell-pink-medium
Under Armour Men's HeatGear Armour Comp Long Sleeve Top                                                                         ,https://www.academy.com/shop/pdp/under-armour-mens-heatgear-armour-comp-long-sleeve-top?sku=royal-x-large
Nike Men's Dri-FIT DFC Solid Training Tank Top                                                                                  ,https://www.academy.com/shop/pdp/nike-mens-dri-fit-dfc-solid-training-tank-top?sku=game-royal-white-medium
BCG Men's Athletic Turbo Mesh Shorts 10 in                                                                                      ,https://www.academy.com/shop/pdp/bcg-mens-athletic-turbo-mesh-shorts-10-in?sku=black-large
BCG Women's Seamless Push Up Racerback Sports Bra                                                                               ,https://www.academy.com/shop/pdp/bcg-womens-seamless-push-up-racerback-sports-bra?sku=charcoal-02-medium
BCG Women's High Impact Sports Bra                                                                                              ,https://www.academy.com/shop/pdp/bcg-womens-high-impact-sports-bra?sku=gray-medium-01-medium
Magellan Outdoors Women's Backpacker Trail Trek Leggings                                                                        ,https://www.academy.com/shop/pdp/magellan-outdoors-womens-backpacker-trail-trek-leggings?sku=black-large
BCG Women’s Running Reflective Mesh Shorts                                                                                    ,https://www.academy.com/shop/pdp/bcg-women%E2%80%99s-running-reflective-mesh-shorts?sku=black-x-large
BCG Women's Turbo Digi Training T-shirt                                                                                         ,https://www.academy.com/shop/pdp/bcg-womens-turbo-digi-training-t-shirt?sku=ebony-large
