web-scraper-order,web-scraper-start-url,category,category-href,suncat,suncat-href,name
1632289824-1192,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Antivirus Software,https://www.officedepot.com/a/browse/antivirus-software/N=5+1462056/,"McAfee® AntiVirus Plus, For PC or Mac®, 10 Devices, 1 Year Subscription, Downloa...4.6 out of 5 stars. 18 reviews"
1632289737-1090,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Utilities Software,https://www.officedepot.com/a/browse/utilities-software/N=5+1462061/,iolo System Mechanic Ultimate Defense (Windows)0.0 out of 5 stars.
1632289751-1111,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,System Maintenance Software,https://www.officedepot.com/a/browse/system-maintenance-software/N=5+1462060/,"Iolo System Mechanic, Windows®, CD/Product Key0.0 out of 5 stars."
1632289673-1018,https://www.officedepot.com/a/browse/software/N=5+1462054/,Business Software,https://www.officedepot.com/a/browse/business-software/N=5+1462062/,Document Management,https://www.officedepot.com/a/browse/document-management/N=5+1462063/,"TurboPDF v3, Download0.0 out of 5 stars."
1632289737-1101,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Utilities Software,https://www.officedepot.com/a/browse/utilities-software/N=5+1462061/,"Laplink® PCmover Professional 11, 2-Users0.0 out of 5 stars."
1632289537-827,https://www.officedepot.com/a/browse/software/N=5+1462054/,Finance & Legal Software,https://www.officedepot.com/a/browse/finance-and-legal-software/N=5+1462079/,Small Business Finance Software,https://www.officedepot.com/a/browse/small-business-finance-software/N=5+1462082/,"Intuit® QuickBooks® Desktop Premier Plus 2021, For 2 Users, Windows®, Download0.0 out of 5 stars."
1632289808-1168,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Internet Security Software,https://www.officedepot.com/a/browse/internet-security-software/N=5+1462058/,ESET Smart Security Premium (Windows)0.0 out of 5 stars.
1632289709-1065,https://www.officedepot.com/a/browse/software/N=5+1462054/,Business Software,https://www.officedepot.com/a/browse/business-software/N=5+1462062/,Microsoft Office Software,https://www.officedepot.com/a/browse/microsoft-office-software/N=5+1462064/,Microsoft 365 Family - McAfee LiveSafe5.0 out of 5 stars. 1 review
1632289709-1046,https://www.officedepot.com/a/browse/software/N=5+1462054/,Business Software,https://www.officedepot.com/a/browse/business-software/N=5+1462062/,Microsoft Office Software,https://www.officedepot.com/a/browse/microsoft-office-software/N=5+1462064/,"Microsoft Office Home and Business 2019, For 1 PC/Mac, Download3.9 out of 5 stars. 15 reviews"
1632289737-1085,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Utilities Software,https://www.officedepot.com/a/browse/utilities-software/N=5+1462061/,Paragon ToolBox For Mac®0.0 out of 5 stars.
1632289737-1084,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Utilities Software,https://www.officedepot.com/a/browse/utilities-software/N=5+1462061/,IBM Fabric Manager - License + 1 Year Software Subscription and Support - 1 mana...0.0 out of 5 stars.
1632289808-1145,https://www.officedepot.com/a/browse/software/N=5+1462054/,"Antivirus, Security & Utilities Software",https://www.officedepot.com/a/browse/antivirus-security-and-utilities-software/N=5+1462055/,Internet Security Software,https://www.officedepot.com/a/browse/internet-security-software/N=5+1462058/,"McAfee Internet Security, 10 Devices, Antivirus Software, 1 Yr – Product Key4.4 out of 5 stars. 41 reviews"
1632289413-720,https://www.officedepot.com/a/browse/software/N=5+1462054/,Graphic Design Software,https://www.officedepot.com/a/browse/graphic-design-software/N=5+1462084/,Graphic Design Software,https://www.officedepot.com/a/browse/graphic-design-software/N=5+1462087/,XARA Photo & Graphic Designer (17) (Windows)0.0 out of 5 stars.
